nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"SPKLU UCI BENY GRAND TROPIC",2025,"PT USAHA CHUNLAN INDONESIA","TJ. DUREN UTARA, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU BPK RI",2025,PLN,"JL. GATOT SUBROTO NO.KAV 31, BEND. HILIR, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10210",1,"MEDIUM CHARGING"
"SPKLU BPK RI",2025,PLN,"JL. GATOT SUBROTO NO.KAV 31, BEND. HILIR, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10210",1,"FAST CHARGING"
"SPKLU UJB RUKO SUNTER",2025,"PT USAHA JAYA MAS BAKTI","JL. DANAU SUNTER UTARA NO.1 RT.14 RW.13 SUNTER AGUNG, TANJUNG PRIOK",2,"ULTRA FAST CHARGING"
"SPKLU POS RW TAMAN NYIUR IV",2025,PLN,"JL. TAMAN NYIUR 6 RT.1 RW.15 SUNTER AGUNG, TANJUNG PRIOK",1,"MEDIUM CHARGING"
"SPKLU MASJID RAYA AL-ITTIHAD",2025,PLN,"JL. TEBET MAS INDAH I NO.8, RT.8/RW.2, TEBET BAR., KEC. TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12810",2,"MEDIUM CHARGING"
"SPKLU JTOWN FOOD AND ENTERTAIMENT CENTER",2025,PLN,"JL. JATINEGARA TIMUR NO.62 11, RT.11/RW.3, BALI MESTER, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13310",1,"MEDIUM CHARGING"
"SPKLU HOTEL THE TAVIA HERITAGE",2025,PLN,"JL. LETJEN SUPRAPTO NO.1, RT.1/RW.1, CEMP. PUTIH BAR., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10520",1,"MEDIUM CHARGING"
"SPKLU HOTEL C’ONE PULOMAS",2025,PLN,"JL. JENDERAL AHMAD YANI JL. PULOMAS SELATAN, RT.4/RW.7, KAYU PUTIH, KEC. PULO GADUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13210",1,"MEDIUM CHARGING"
"SPKLU HOTEL D’ARCICI",2025,PLN,"JL. LETJEN SUPRAPTO NO.62, RT.8/RW.3, CEMP. PUTIH BAR., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10520",1,"MEDIUM CHARGING"
"SPKLU PIDI 4.0",2025,PLN,"GROGOL UTARA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU RSU FATMAWATI PARKIR IGD",2025,PLN,"JL. RS. FATMAWATI RAYA, CILANDAK BAR., KEC. CILANDAK, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12430",1,"FAST CHARGING"
"SPKLU POSKO KELAPA GADING",2025,PLN,"KLP. GADING TIM., JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU MENARA BIDAKARA 2",2025,PLN,"JL. GATOT SUBROTO NO.KAV. 71-73, RT.8/RW.8, MENTENG DALAM, KEC. TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12870",2,"MEDIUM CHARGING"
"SPKLU PLN CLUSTER CENDANA",2025,PLN,"CLUSTER CENDANA, BUKIT GOLF MEDITERANIA",3,"MEDIUM CHARGING"
"SPKLU APARTEMEN MAHATA",2025,PLN,"JL RAYA TANJUNG BARAT, LENTENG AGUNG, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU KAMPUS LIA",2025,PLN,"PENGADEGAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU PLN UID JAKARTA RAYA",2025,PLN,"JL. M.I. RIDWAN RAIS NO.1, GAMBIR",1,"MEDIUM CHARGING"
"SPKLU PLN UP3 JATINEGARA",2025,PLN,"JL. JATINEGARA TIMUR NO. 75",1,"MEDIUM CHARGING"
"SPKLU PLN UP3 TANJUNG PRIOK",2025,PLN,"JL. YOS SUDARSO NO.30, RT.19/RW.5, SUNTER JAYA, TJ. PRIOK, DKI JAKARTA",3,"MEDIUM CHARGING"
"SPKLU INDOMOBIL",2025,INDOMOBIL,"WISMA INDOMOBIL, JL. LETJEND MT. HARYONO NO.3 RW 06, BIDARA CINA, JAKARTA TIMUR, JAKARTA 13330",1,"STANDART CHARGING"
"SPKLU INDOMOBIL",2025,INDOMOBIL,"WISMA INDOMOBIL, JL. LETJEND MT. HARYONO NO.3 RW 06, BIDARA CINA, JAKARTA TIMUR, JAKARTA 13330",1,"FAST CHARGING"
"SPKLU PT POS FATMAWATI",2025,PLN,"JL. RS. FATMAWATI RAYA NO.10, RT.1/RW.4, JAKARTA SELATAN, DKI JAKARTA",1,"FAST CHARGING"
"SPKLU PLN KANTOR PUSAT",2025,PLN,"JALAN TRUNOJOYO BLOK M – I NO 135 KEBAYORAN BARU, JAKARTA",3,"ULTRA FAST CHARGING"
