nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"SPKLU HOTEL GLORIA SUITES",2025,PLN,"JL. KYAI TAPA NO.215 5, TOMANG, KEC. GROGOL PETAMBURAN, KOTA JAKARTA BARAT, DKI JAKARTA 11450",1,"MEDIUM CHARGING"
"SPKLU KANTOR KEMENTRIAN PUPR",2025,PLN,"SELONG, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",4,"MEDIUM CHARGING"
"SPKLU BINA BANGSA SCHOOL",2025,PLN,"KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KEMENKUMHAM",2025,PLN,"KARET KUNINGAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU TRANSMART CILANDAK",2025,PLN,"CILANDAK TIMUR, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU MASJID JAMI' ASSA'ADAH",2025,PLN,"LB. BULUS, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KEJAKSAAN NEGERI JAKARTA BARAT",2025,PLN,"KEMBANGAN UTARA, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU POSKO GUNUNG SARI",2025,PLN,"JL GN SAHARI 12, RT 16/3 GN SAHARI UTARA. KECAMATAN SAWAH BESAR, KOTA JAKARTA PUSAT, 10720",2,"MEDIUM CHARGING"
"SPKLU POSKO YANTEK KAPUK",2025,PLN,"POSKO YANTEK KAPUK, KAPUK RAYA NO 26, KAPUK, KECAMATAN CENGKARENG, KOTA JAKARTA BARAT, 11720",2,"MEDIUM CHARGING"
"SPKLU TRANSMART KALIMALANG",2025,PLN,"JL RAYA KALIMALANG DUREN SAWIT JAKARTA TIMUR",1,"ULTRA FAST CHARGING"
"SPKLU TRANSMART KALIMALANG",2025,PLN,"JL RAYA KALIMALANG DUREN SAWIT JAKARTA TIMUR",2,"MEDIUM CHARGING"
"SPKLU RUKO SENTRA NIAGA KALIMALANG",2025,PLN,"JL. SEULAWAH RAYA, CIPINANG MELAYU, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU POLDA METRO JAYA",2025,PLN,"JL. JENDERAL SUDIRMAN NO.KAV. 55, SENAYAN, KEC. KBY. BARU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12190",1,"ULTRA FAST CHARGING"
"SPKLU PERUMAHAN SACNA SUNTER AGUNG",2025,PLN,"JL. NUSANTARA SELATAN RW 17, SUNTER AGUNG, KEC. TJ. PRIOK, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14350",1,"MEDIUM CHARGING"
"SPKLU RS AU DR ESNAWAN ANTARIKSA",2025,PLN,"JL. MERPATI LANUD HALIM PERDANA KUSUMAH NO.2, RT.5/RW.11, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU TRANSMART CEMPAKA PUTIH",2025,PLN,"JL. JENDERAL AHMAD YANI NO.83, RT.10/RW.7, CEMP. PUTIH TIM., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10510",2,"MEDIUM CHARGING"
"SPKLU TRANSMART CEMPAKA PUTIH",2025,PLN,"JL. JENDERAL AHMAD YANI NO.83, RT.10/RW.7, CEMP. PUTIH TIM., KEC. CEMP. PUTIH, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10510",1,"ULTRA FAST CHARGING"
"SPKLU HERO SUPERMARKET",2025,PLN,"JL. LEBAK BULUS RAYA NO.4, RT.002/RW.4, LB. BULUS, KEC. CILANDAK, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12440",2,"MEDIUM CHARGING"
"SPKLU KANTOR KELURAHAN CAWANG",2025,PLN,"JL. JAANI NASIR, 1 NO.7, RT.1/RW.10, CAWANG, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 11530",1,"MEDIUM CHARGING"
"SPKLU EVCITY PLN UID JAKARTA RAYA",2025,"PT LISTRIK ANUGERAH DIVINA","JL. M.I. RIDWAN RAIS NO.1, GAMBIR",1,"ULTRA FAST CHARGING"
"SPKLU CENTER EVCITY PLN UP3 BULUNGAN",2025,"PT LISTRIK ANUGERAH DIVINA","JALAN SISINGAMANGARAJA NO.1",2,"ULTRA FAST CHARGING"
"SPKLU PLN GUDANG SUNTER",2025,PLN,"JALAN YOS SUDARSO KAV. 85, SUNTER JAYA, SUNTER, TANJUNG PRIOK, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14360",3,"MEDIUM CHARGING"
"SPKLU PERUMAHAN TAMAN NYIUR 3",2025,PLN,"JL. TAMAN NYIUR 6, SUNTER AGUNG, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU JIEP BUSINESS CENTRE",2025,PLN,"JL. PULOBUARAN RAYA, RW.9, JATINEGARA, KEC. CAKUNG, KOTA JAKARTA TIMUR, DKI JAKARTA 13930",2,"MEDIUM CHARGING"
"SPKLU MENARA 2 BANK BTN",2025,BTN,"JL. H. R. RASUNA SAID NO.1, RT.1/RW.6, GUNTUR, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12980",1,"FAST CHARGING"
"SPKLU APARTEMEN PERMATA EKSEKUTIF",2025,PLN,"JL. RAYA POS PENGUMBEN NO.51, RT.1/RW.6, KLP. DUA, KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11550",2,"MEDIUM CHARGING"
"SPKLU LOUIE CAFÉ",2025,PLN,"JALAN CIPUTAT RAYA NO. 05, PONDOK PINANG, KEBAYORAN LAMA, JAKARTA SELATAN, DKI JAKARTA 12310",1,"FAST CHARGING"
"SPKLU APARTEMENT KEBAGUSAN",2025,PLN,"JL. BAUNG, KEBAGUSAN, KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12520",2,"MEDIUM CHARGING"
"SPKLU SETWAPRES",2025,PLN,"JL KEBON SIRIH, GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU UNIVERSITAS BINAWAN",2025,PLN,"JL DEWI SARTIKA CAWANG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU EAST PARK APARTEMENT",2025,PLN,"JL PERUMAHAN JATINEGARA INDAH RT13 RW12 CAKUNG JAKARTA TIMUR",1,"ULTRA FAST CHARGING"
"SPKLU KAMPUS IT PLN",2025,PLN,"MENARA PLN, JL. LKR. LUAR BARAT LANTAI 2, RT.1/RW.1, DURI KOSAMBI, KECAMATAN CENGKARENG, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11750",1,"MEDIUM CHARGING"
"SPKLU SAHASSRA VENUE & RESTO",2025,PLN,"JL PANGKALAN JATI VI, CIPINANG MELAYU, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU BONJUR CAFE & RESTO",2025,PLN,"JL JANUR RAYA NO 254 BILLY MOON, PD. KLP., KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU JIEP GEDUNG GRAHA DAYA GUNA",2025,PLN,"KAWASAN JIEP, JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU JIEP GEDUNG GRAHA DAYA GUNA",2025,PLN,"KAWASAN JIEP, JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU BUDHA TZU CHI",2025,PLN,"AREA PARKIR RS BUDHA TU CHI, CENGKARENG TIM., KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU GEDUNG GRAHA INTI FAUZI UFC",2025,PLN,"JL. BUNCIT RAYA NO.22, RT.2/RW.7, PEJATEN BAR., PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12510",1,"ULTRA FAST CHARGING"
"SPKLU POSKO YANTEK PLN PONDOK INDAH",2025,PLN,"JALAN METRO ALAM III, RT.11/RW.16, PONDOK PINANG, KEBAYORAN LAMA, RT.11/RW.16, PD. PINANG, KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12310",2,"MEDIUM CHARGING"
"SPKLU CITRA 8 (DANAU)",2025,PLN,"JL. CITRA 7 NO.7, RT.7/RW.11, KALIDERES, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11840",3,"MEDIUM CHARGING"
"SPKLU PT PRODUKSI FILM NEGARA (PERSERO) - PFN",2025,PLN,"JL. OTISTA RAYA NO.125-127, RT.9/RW.8, BIDARA CINA, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13330",2,"MEDIUM CHARGING"
"SPKLU MESJID SUNDA KELAPA",2025,PLN,"JL. TAMAN SUNDA KELAPA NO.16, MENTENG, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10310",1,"MEDIUM CHARGING"
"SPKLU MCD GREEN GARDEN",2025,PLN,"JL.RAYA PANJANG, MERUYA UTARA KEBUN JERUK JAKARTA BARAT",1,"MEDIUM CHARGING"
"SPKLU MASJID AL IKHLAS CIJANTUNG",2025,PLN,"JL. H. REMAIH, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU PUSZIAD",2025,PLN,"JL KESATRIAN II, KB. MANGGIS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU ALJAZEERAH POLONIA",2025,PLN,"JL. CIPINANG CEMPEDAK I NO.29 14, RT.14/RW.3, CIPINANG CEMPEDAK, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13340",1,"MEDIUM CHARGING"
"SPKLU KALIA RESTAURANT",2025,PLN,"JL. ASEM BARIS RAYA NO.121, KB. BARU, KEC. TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12830",1,"MEDIUM CHARGING"
"SPKLU BADAN INTELIJEN NEGARA (BIN)",2025,BIN,"JALAN SENO RAYA, PEJATEN TIMUR, PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12510",3,"ULTRA FAST CHARGING"
"SPKLU RUKAN PERMATA SENAYAN",2025,PLN,"JL. TENTARA PELAJAR NO.21, RT.1/RW.7, GROGOL UTARA, KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12210",1,"FAST CHARGING"
"SPKLU RUKAN PERMATA SENAYAN",2025,PLN,"JL. TENTARA PELAJAR NO.21, RT.1/RW.7, GROGOL UTARA, KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12210",3,"MEDIUM CHARGING"
"SPKLU RUKO PALEM INDAH",2025,PLN,"JL BUARAN RT 2 RW 2 DUREN SAWIT",1,"MEDIUM CHARGING"
"SPKLU MESS AD PEJAMBON",2025,PLN,"JL. PEJAMBON I NO.6 16, RT.16/RW.1 GAMBIR JAKARTA PUSAT",1,"MEDIUM CHARGING"
"SPKLU LRT CITY CIRACAS",2025,PLN,"CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
"SPKLU LRT CITY CIRACAS",2025,PLN,"CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU JIEP GEDUNG SERBA GUNA",2025,PLN,"JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU JIEP FOOD CENTER RAWA TERATE",2025,PLN,"JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU KEMENSOS",2025,PLN,"JL. SALEMBA RAYA NO.28 KEC. SENEN, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10430",2,"MEDIUM CHARGING"
"SPKLU AMUYA CAFE KEMAYORAN",2025,PLN,"JL ANGKASA 1, GN. SAHARI SEL., KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU POLDA METRO JAYA (KHUSUS PEGAWAI POLDA)",2025,PLN,"JL. JENDERAL SUDIRMAN NO.KAV. 55, SENAYAN, KEC. KBY. BARU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12190",2,"MEDIUM CHARGING"
"SPKLU GEDUNG ARSIP PLN JAGAKARSA",2025,PLN,"JL. SIRSAK NO.67 1, RT.1/RW.2, JAGAKARSA, CIGANJUR, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU MENZIKON",2025,PLN,"JL SUKAMTO, PEKAYON, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU PURI CASABLANCA",2025,PLN,"MENTENG DALAM, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU MABES AD",2025,PLN,"JL. VETERAN, GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU MABES AD",2025,PLN,"JL. VETERAN, GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU GRIYA INTI SENTOSA 1",2025,PLN,"JL GRIYA SENTOSA, SUNTER AGUNG, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU MENARA BANK MEGA",2025,PLN,"JL. KAPTEN TENDEAN NO.12 14A, RT.2/RW.2, MAMPANG PRAPATAN, JAKARTA SELATAN, JAKARTA 12790",3,"MEDIUM CHARGING"
"SPKLU MENARA BANK MEGA",2025,PLN,"JL. KAPTEN TENDEAN NO.12 14A, RT.2/RW.2, MAMPANG PRAPATAN, JAKARTA SELATAN, JAKARTA 12790",2,"FAST CHARGING"
"SPKLU PERUM AKASIA MC",2025,PLN,"GRIYA INTI SENTOSA, JL. AKASIA BUKIT GOLF MEDITERANIA",4,"MEDIUM CHARGING"
"SPKLU EST JAKARTA",2025,PLN,"JL. CILILITAN BESAR NO.2, RT.13/RW.1, MAKASAR, KEC. MAKASAR, KB. PALA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KOMODOR 40",2025,PLN,"JL KOMODOR 40 KELURAHAN HALIM PERDANAKUSUMA",1,"FAST CHARGING"
"SPKLU LAPANGAN JATI UNIVERSITAS MERCU BUANA",2025,PLN,"JL. MERUYA SELATAN NO.1, RT.4/RW.1, JOGLO, KEC. KEMBANGAN, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",4,"MEDIUM CHARGING"
"SPKLU APARTEMENT VASAKA SOLTERA",2025,PLN,"JL. CONDET PEJATEN NO.1, PEJATEN BARAT, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU WEST HUB",2025,PLN,"JL. PANJANG ARTERI KLP. DUA RAYA NO.29, RT.1/RW.2, KLP. DUA, KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11550",2,"ULTRA FAST CHARGING"
"SPKLU VILLA GADING INDAH",2025,PLN,"JL. BGR BOULEVARD KELAPA GADING, JAKARTA UTARA",1,"MEDIUM CHARGING"
"SPKLU VILLA GADING INDAH",2025,PLN,"JL. BGR BOULEVARD KELAPA GADING, JAKARTA UTARA",1,"FAST CHARGING"
"SPKLU MASJID AN NIZAM",2025,PLN,"JL. BOULEVARD BUKIT GADING RAYA, KELAPA GADING, JAKARTA UTARA",1,"MEDIUM CHARGING"
"SPKLU GEDUNG GRAHA INTI FAUZI FC",2025,PLN,"JL. BUNCIT RAYA NO.22, RT.2/RW.7, PEJATEN BAR., PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12510",1,"FAST CHARGING"
"SPKLU GEDUNG GRAHA INTI FAUZI FC",2025,PLN,"JL. BUNCIT RAYA NO.22, RT.2/RW.7, PEJATEN BAR., PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12510",1,"MEDIUM CHARGING"
"SPKLU LIPPO MALL PARKIR P3 R-39",2025,PLN,"KEMBANGAN SEL., KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU LIPPO MALL PARKIR P3 R-39",2025,PLN,"KEMBANGAN SEL., KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU POOL GRAB BANDARA HALIM",2025,PLN,"JL ANGKASA III HALIM P",1,"MEDIUM CHARGING"
"SPKLU EVCITY LOUIE CAFÉ",2025,"PT LISTRIK ANUGERAH DIVINA","JALAN CIPUTAT RAYA NO. 05, PONDOK PINANG, KEBAYORAN LAMA, JAKARTA SELATAN, DKI JAKARTA 12310",2,"ULTRA FAST CHARGING"
"SPKLU EVCITY LOUIE CAFÉ",2025,"PT LISTRIK ANUGERAH DIVINA","JALAN CIPUTAT RAYA NO. 05, PONDOK PINANG, KEBAYORAN LAMA, JAKARTA SELATAN, DKI JAKARTA 12310",1,"FAST CHARGING"
"SPKLU STUDIO TRANS 7",2025,PLN,"JL. KAPTEN TENDEAN NO.41 1, RT.2/RW.3, KUNINGAN BAR., KEC. MAMPANG PRPT., KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12710",1,"MEDIUM CHARGING"
"SPKLU FASUM PERUMAHAN ROYAL RESIDENCE",2025,PLN,"JL ROYAL GRAND, PULO GEBANG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KLHK PANJAITAN GROUND",2025,PLN,"CIPINANG BESAR SEL., KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU KLHK PANJAITAN GROUND",2025,PLN,"CIPINANG BESAR SEL., KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU URBAN SPORT DOME",2025,PLN,"LB. BULUS, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU SYNTHESIS SQUARE",2025,"PT MULTI INTEGRA DIGITAL","MENTENG DALAM, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU POSKO YANTEK SAMRATULANGI UP3 MENTENG",2025,PLN,"JL. DR. GSSJ RATULANGI NO.30 2, RT.2/RW.3, GONDANGDIA, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10350",2,"MEDIUM CHARGING"
"SPKLU UNIVERSITAS BINUS KAMPUS ANGGREK",2025,"PT MULTI INTEGRA DIGITAL","KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU UNIVERSITAS BINUS KAMPUS ANGGREK",2025,PLN,"KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU UNJ PARKIR GEDUNG SFD",2025,PLN,"JL. DAKSINAPATI, RAWAMANGUN, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU KLANGEN COFFEE & RESTO",2025,"KLAGEN COFFEE RESTO","DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU STARVISION KHARISMA",2025,PLN,"JL. CEMPAKA PUTIH TENGAH XIII, CEMP. PUTIH TIM., KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU PP DMI MATRAMAN",2025,PLN,"PALMERIAM, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU KANTOR BPHN",2025,PLN,"JL. MAYJEN SUTOYO NO.10 4, RT.4/RW.14, CILILITAN, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13640",3,"MEDIUM CHARGING"
"SPKLU INSTITUT PARIWISATA TRISAKTI",2025,PLN,"JL. IKPN BINTARO TANAH KUSIR NO.1, RT.4/RW.10, BINTARO, KEC. PESANGGRAHAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12330",3,"MEDIUM CHARGING"
"SPKLU BELMONT RESIDENCE",2025,PLN,"SRENGSENG, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU BELMONT RESIDENCE",2025,PLN,"SRENGSENG, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"FAST CHARGING"
"SPKLU MALL CIPINANG INDAH",2025,PLN,"PD. BAMBU, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU MALL CIPINANG INDAH",2025,PLN,"PD. BAMBU, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU GRAHA KAJI",2025,PLN,"JL. KAJI NO.32, RT.10/RW.7, PETOJO UTARA, KECAMATAN GAMBIR, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10130",1,"MEDIUM CHARGING"
"SPKLU MADAME DELIMA",2025,PLN,"CIKINI, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"(VOLTRON) MCDONALD'S PURI INDAH KEMBANGAN",2025,VOLTRON,"MCDONALDS PURI KEMBANGAN, JALAN PURI INDAH RAYA, RT.3/RW.2, SOUTH KEMBANGAN, WEST JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) ESDM",2025,VOLTRON,"JL. HR RASUNA SAID NO.62, RT.18/RW.2, KARET, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN,DKI JAKARTA 12920",1,"STANDART CHARGING"
"(VOLTRON) ESDM",2025,VOLTRON,"JL. HR RASUNA SAID NO.62, RT.18/RW.2, KARET, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN,DKI JAKARTA 12920",1,"MEDIUM CHARGING"
"(VOLTRON) DPR RI",2025,VOLTRON,"JL. GATOT SUBROTO NO.1, RT.1/RW.3, SENAYAN, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT,DKI JAKARTA 10270",1,"STANDART CHARGING"
"(VOLTRON) DPR RI",2025,VOLTRON,"JL. GATOT SUBROTO NO.1, RT.1/RW.3, SENAYAN, KECAMATAN TANAH ABANG, KOTA JAKARTA PUSAT,DKI JAKARTA 10270",1,"MEDIUM CHARGING"
"(VOLTRON) JASAMARGA",2025,VOLTRON,"JL. PLAZA TOL TAMAN MINI INDONESIA INDAH, RT.8/RW.2, DUKUH, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR,DKI JAKARTA 13550",2,"MEDIUM CHARGING"
"(VOLTRON) LTC GLODOK",2025,VOLTRON,"JL. HAYAM WURUK NO.2, RT.1/RW.5, MANGGA BESAR, KEC. TAMAN SARI, JAKARTA BARAT, AERAH KHUSUS IBUKOTA JAKARTA 11180",2,"MEDIUM CHARGING"
"(VOLTRON) MENARA CITICON",2025,VOLTRON,"JL. LETJEN S. PARMAN NO.KAV 72 4, RT.4/RW.3, SLIPI, KEC. PALMERAH, KOTA JAKARTA BARAT,DKI JAKARTA 11410",2,"MEDIUM CHARGING"
"(VOLTRON) BAYWALK MALL",2025,VOLTRON,"JL. PLUIT KARANG AYU 1 NO.B1, PLUIT, KEC. PENJARINGAN, JKT UTARA,DKI JAKARTA 14450",2,"MEDIUM CHARGING"
"(VOLTRON) PLAZA KENARI MAS",2025,VOLTRON,"JL. KRAMAT RAYA NO.101 B189-190, RT.18/RW.1, PASEBAN, KEC. SENEN, KOTA JAKARTA PUSAT,DKI JAKARTA 10440",2,"MEDIUM CHARGING"
"(VOLTRON) GRAHA BIP",2025,VOLTRON,"JL. GATOT SUBROTO NO.23, RT.2/RW.2, KARET SEMANGGI, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN,DKI JAKARTA 12930",2,"MEDIUM CHARGING"
"(VOLTRON) HARCO GLODOK",2025,VOLTRON,"JL. HAYAM WURUK NO.2, RT.1/RW.5, MANGGA BESAR, KEC. TAMAN SARI, JAKARTA BARAT,DKI JAKARTA 11180",2,"MEDIUM CHARGING"
"(VOLTRON) PACIFIC PLACE RESIDENCE",2025,VOLTRON,"JL. JENDERAL SUDIRMAN NO.52-53, RT.5/RW.3, SENAYAN, KEC. KBY. BARU, KOTA JAKARTA SELATAN,DKI JAKARTA 12190",2,"MEDIUM CHARGING"
"(VOLTRON) BLOK M SQUARE",2025,VOLTRON,"BLOK M SQUARE, JALAN MELAWAI 5, RT.3/RW.1, MELAWAI, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) ONE BELPARK MALL",2025,VOLTRON,"ONE BELPARK MALL, JALAN RS. FATMAWATI RAYA, RT.1/RW.1, PONDOK LABU, SOUTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
"(VOLTRON) KONDOMINIUM MENARA KELAPA GADING",2025,VOLTRON,"KONDOMINIUM MENARA, KELAPA GADING, JALAN ARTERI KELAPA GADING, RT.11/RW.16, PEGANGSAAN DUA, NORTH JAKARTA CITY, JAKARTA, INDONESIA",2,"MEDIUM CHARGING"
